,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
31,2024-10-07T08:33:18.524Z,34.7421,24.8803,10.0,4.3,mb,51.0,229.0,0.545,0.47,us,us6000nx18,2024-10-08T07:52:42.040Z,"34 km S of Moíres, Greece",earthquake,5.48,1.918,0.09,35.0,reviewed,us,us
34,2024-10-07T06:54:30.633Z,45.2248,-112.4752,13.656,4.1,mb,69.0,35.0,0.162,0.57,us,us6000nx10,2024-10-08T13:19:07.387Z,"12 km E of Dillon, Montana",earthquake,2.14,6.738,0.101,27.0,reviewed,us,us
36,2024-10-07T06:18:46.515Z,38.2858,23.2711,10.0,4.7,mww,144.0,38.0,1.037,0.62,us,us6000nx0u,2024-10-07T07:36:15.040Z,"6 km SW of Thívai, Greece",earthquake,5.36,1.845,0.069,20.0,reviewed,us,us
37,2024-10-07T05:54:58.640Z,34.8624,26.2324,10.0,4.8,mb,101.0,149.0,1.18,0.41,us,us6000nx0t,2024-10-07T08:10:57.040Z,"37 km S of Palekastro, Greece",earthquake,5.65,1.734,0.056,97.0,reviewed,us,us
38,2024-10-07T05:51:17.399Z,-18.9802,-173.1591,10.0,5.3,mb,41.0,56.0,2.922,0.6,us,us6000nx0s,2024-10-07T06:10:04.040Z,"94 km ESE of Neiafu, Tonga",earthquake,6.64,1.864,0.101,33.0,reviewed,us,us
39,2024-10-07T05:49:56.451Z,-24.1135,-67.112,187.553,4.6,mb,42.0,56.0,2.485,1.0,us,us6000nx0r,2024-10-07T06:21:37.040Z,"81 km W of San Antonio de los Cobres, Argentina",earthquake,9.13,6.956,0.09,37.0,reviewed,us,us
42,2024-10-07T05:35:06.102Z,-24.1429,-67.0647,166.805,4.9,mww,80.0,55.0,2.512,1.1,us,us6000nx0l,2024-10-07T05:56:05.040Z,"76 km W of San Antonio de los Cobres, Argentina",earthquake,8.2,6.842,0.08,15.0,reviewed,us,us
43,2024-10-07T05:01:56.095Z,25.3194,142.6784,10.0,4.9,mb,46.0,117.0,1.824,0.82,us,us6000nx0h,2024-10-07T06:50:21.040Z,"Volcano Islands, Japan region",earthquake,8.42,1.556,0.094,36.0,reviewed,us,us
44,2024-10-07T04:38:15.411Z,12.3446,-86.8019,180.913,4.4,mb,31.0,146.0,0.575,0.76,us,us6000nx0g,2024-10-08T00:28:06.040Z,"13 km SE of León, Nicaragua",earthquake,8.94,2.782,0.179,9.0,reviewed,us,us
50,2024-10-07T02:24:16.648Z,-3.7278,151.4494,10.0,4.6,mb,17.0,104.0,0.848,0.57,us,us6000nx0y,2024-10-07T23:07:28.040Z,"94 km WNW of Rabaul, Papua New Guinea",earthquake,7.69,1.9,0.141,15.0,reviewed,us,us
52,2024-10-07T01:00:10.073Z,6.825,125.8025,33.36,4.6,mb,20.0,118.0,0.329,0.82,us,us6000nwzw,2024-10-07T22:39:54.040Z,"11 km SSE of San Remigio, Philippines",earthquake,13.56,4.567,0.132,17.0,reviewed,us,us
53,2024-10-07T00:33:16.194Z,-33.5384,-178.01,10.0,5.0,mb,35.0,130.0,4.264,1.24,us,us6000nwzm,2024-10-07T00:56:18.040Z,south of the Kermadec Islands,earthquake,11.06,1.89,0.103,30.0,reviewed,us,us
54,2024-10-07T00:32:55.379Z,-7.0603,103.259,10.0,4.2,mb,15.0,161.0,2.699,0.56,us,us6000nwzt,2024-10-07T01:03:28.040Z,"285 km SW of Bandar Lampung, Indonesia",earthquake,8.48,1.913,0.199,7.0,reviewed,us,us
58,2024-10-06T22:53:36.433Z,-6.3909,128.382,362.143,4.5,mb,22.0,74.0,2.396,0.62,us,us6000nwyt,2024-10-06T23:05:54.040Z,"280 km NNE of Lospalos, Timor Leste",earthquake,10.57,8.002,0.131,17.0,reviewed,us,us
60,2024-10-06T21:52:59.301Z,-13.5766,-111.1482,10.0,5.6,mww,102.0,110.0,13.587,0.92,us,us6000nwyj,2024-10-07T21:56:04.868Z,central East Pacific Rise,earthquake,12.59,1.879,0.073,18.0,reviewed,us,us
61,2024-10-06T21:50:49.646Z,-20.7275,-174.2397,10.0,5.0,mb,24.0,108.0,0.931,0.77,us,us6000nwyi,2024-10-06T22:08:09.040Z,"97 km ENE of Kolonga, Tonga",earthquake,9.48,1.897,0.126,20.0,reviewed,us,us
62,2024-10-06T21:35:03.675Z,-33.4255,-178.474,10.0,4.9,mb,30.0,109.0,4.178,0.98,us,us6000nwyc,2024-10-06T21:51:54.040Z,south of the Kermadec Islands,earthquake,10.09,1.908,0.122,21.0,reviewed,us,us
64,2024-10-06T20:04:07.172Z,-4.9771,102.8475,59.093,4.5,mb,40.0,99.0,0.622,0.73,us,us6000nwxw,2024-10-06T20:36:59.040Z,"114 km SSW of Pagar Alam, Indonesia",earthquake,8.14,7.072,0.108,25.0,reviewed,us,us
66,2024-10-06T19:14:21.494Z,-15.9664,-74.5975,35.0,4.4,mb,28.0,152.0,4.515,0.95,us,us6000nwxl,2024-10-06T19:32:12.040Z,"31 km SW of Atiquipa, Peru",earthquake,5.77,1.925,0.112,23.0,reviewed,us,us
68,2024-10-06T18:19:53.418Z,17.3515,-98.314,42.204,4.1,mb,27.0,203.0,0.32,0.63,us,us6000nwxg,2024-10-06T20:05:49.535Z,"3 km SE of Tlahuapa, Mexico",earthquake,6.4,8.755,0.073,52.0,reviewed,us,us
69,2024-10-06T17:56:25.706Z,64.8464,-17.6755,10.0,5.1,mww,65.0,102.0,1.566,0.44,us,us6000nwxc,2024-10-06T18:23:45.040Z,"95 km SSE of Akureyri, Iceland",earthquake,9.81,1.9,0.052,36.0,reviewed,us,us
71,2024-10-06T17:20:03.210Z,38.6405,141.7572,57.641,4.6,mb,28.0,142.0,2.212,0.41,us,us6000nwx8,2024-10-06T17:38:09.040Z,"34 km NE of Onagawa Chō, Japan",earthquake,6.66,8.937,0.152,13.0,reviewed,us,us
72,2024-10-06T17:10:03.972Z,9.1287,40.3209,10.0,4.9,mb,67.0,74.0,3.445,0.48,us,us6000nwx4,2024-10-08T11:19:58.649Z,"23 km NE of Āwash, Ethiopia",earthquake,8.83,1.856,0.069,65.0,reviewed,us,us
73,2024-10-06T16:47:42.613Z,-17.7267,-178.1744,582.698,4.4,mb,23.0,96.0,3.596,0.51,us,us6000nwx2,2024-10-06T17:10:05.040Z,"268 km E of Levuka, Fiji",earthquake,13.46,15.05,0.123,19.0,reviewed,us,us
76,2024-10-06T15:07:23.601Z,53.2185,-167.1107,48.174,4.3,mb,38.0,163.0,0.518,0.83,us,us6000nwws,2024-10-06T19:28:22.887Z,"82 km SSW of Unalaska, Alaska",earthquake,5.17,9.237,0.072,55.0,reviewed,us,us
77,2024-10-06T14:33:52.312Z,-17.7396,-178.4677,594.215,4.3,mb,16.0,123.0,3.316,0.46,us,us6000nwwl,2024-10-06T14:49:45.040Z,"237 km E of Levuka, Fiji",earthquake,19.63,12.559,0.153,12.0,reviewed,us,us
78,2024-10-06T13:00:58.349Z,-17.2115,171.6429,10.0,5.2,mww,39.0,75.0,6.14,0.54,us,us6000nwwa,2024-10-06T13:20:31.040Z,Vanuatu region,earthquake,9.93,1.869,0.073,18.0,reviewed,us,us
