,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
197,2024-10-03T13:08:40.592Z,51.3378,-177.0247,35.0,5.1,mb,84.0,145.0,0.522,0.64,us,us6000nw9t,2024-10-08T13:18:55.126Z,"65 km SSW of Adak, Alaska",earthquake,3.84,1.68,0.028,402.0,reviewed,us,us
198,2024-10-03T13:08:06.252Z,-28.4632,-176.3346,10.0,5.3,mb,46.0,111.0,1.601,0.86,us,us6000nw9u,2024-10-03T13:25:51.040Z,Kermadec Islands region,earthquake,9.66,1.88,0.083,49.0,reviewed,us,us
201,2024-10-03T10:43:14.082Z,-0.9923,148.4357,10.0,5.4,mb,64.0,79.0,1.494,0.63,us,us6000nw94,2024-10-04T10:45:58.692Z,"173 km NE of Lorengau, Papua New Guinea",earthquake,6.12,1.828,0.069,72.0,reviewed,us,us
202,2024-10-03T10:10:52.308Z,21.8699,-106.7678,10.0,4.4,mb,176.0,200.0,3.991,0.61,us,us6000nw91,2024-10-07T12:55:56.040Z,"121 km W of Santa Cruz, Mexico",earthquake,9.5,1.974,0.036,221.0,reviewed,us,us
203,2024-10-03T10:03:09.081Z,-3.3762,131.0098,10.0,4.7,mb,29.0,69.0,1.318,0.64,us,us6000nw8x,2024-10-03T14:49:33.040Z,"151 km WSW of Fakfak, Indonesia",earthquake,6.74,1.5,0.1,30.0,reviewed,us,us
204,2024-10-03T08:19:04.925Z,21.3209,-45.3988,10.0,5.0,mb,94.0,52.0,15.643,0.65,us,us6000nw8l,2024-10-03T08:36:38.040Z,northern Mid-Atlantic Ridge,earthquake,11.07,1.881,0.058,96.0,reviewed,us,us
206,2024-10-03T07:29:36.245Z,-15.4353,-71.9854,128.204,4.3,mb,29.0,126.0,3.316,1.45,us,us6000nw8d,2024-10-03T07:47:07.040Z,"16 km NNW of Tapay, Peru",earthquake,9.6,8.435,0.099,29.0,reviewed,us,us
212,2024-10-03T01:50:31.220Z,-46.9021,33.3953,10.0,5.0,mb,38.0,77.0,17.408,0.79,us,us6000nw77,2024-10-03T02:12:52.040Z,Prince Edward Islands region,earthquake,12.89,1.817,0.109,28.0,reviewed,us,us
213,2024-10-03T01:09:15.456Z,21.9162,94.3332,98.792,4.2,mb,18.0,138.0,0.892,0.85,us,us6000nw74,2024-10-03T01:35:36.040Z,"85 km WSW of Monywa, Myanmar",earthquake,14.44,12.69,0.166,10.0,reviewed,us,us
215,2024-10-02T23:27:09.351Z,11.7795,125.4921,64.138,4.7,mb,43.0,99.0,4.681,0.92,us,us6000nw6t,2024-10-02T23:42:35.040Z,"4 km NE of San Julian, Philippines",earthquake,10.64,7.754,0.091,37.0,reviewed,us,us
218,2024-10-02T21:41:46.963Z,-14.3041,167.2944,209.096,5.2,mww,63.0,64.0,6.843,0.66,us,us6000nw6c,2024-10-03T08:05:10.339Z,"54 km SSW of Sola, Vanuatu",earthquake,8.86,7.579,0.093,11.0,reviewed,us,us
219,2024-10-02T21:05:37.351Z,-34.8421,-179.5924,35.0,4.7,mb,25.0,115.0,3.202,1.13,us,us6000nw66,2024-10-02T21:45:15.040Z,south of the Kermadec Islands,earthquake,10.92,1.89,0.134,17.0,reviewed,us,us
221,2024-10-02T20:44:00.185Z,5.7544,126.0905,102.668,4.5,mb,43.0,88.0,1.402,0.61,us,us6000nw62,2024-10-03T17:25:20.040Z,"52 km ESE of Mangili, Philippines",earthquake,11.38,6.307,0.092,35.0,reviewed,us,us
224,2024-10-02T19:41:01.490Z,11.9994,-86.6932,114.993,4.6,mb,60.0,66.0,0.46,0.78,us,us6000nw5b,2024-10-02T20:36:49.040Z,"20 km W of Villa El Carmen, Nicaragua",earthquake,7.98,5.65,0.047,136.0,reviewed,us,us
227,2024-10-02T19:03:24.652Z,15.8322,-93.9908,72.169,4.4,mb,73.0,146.0,1.838,0.73,us,us6000nw51,2024-10-02T19:28:55.040Z,"25 km WSW of Cabeza de Toro, Mexico",earthquake,10.33,10.226,0.061,76.0,reviewed,us,us
229,2024-10-02T16:43:21.158Z,-7.4024,129.0732,121.221,4.4,mb,20.0,73.0,5.462,0.79,us,us6000nw4g,2024-10-03T22:47:40.040Z,"260 km ENE of Lospalos, Timor Leste",earthquake,8.82,8.665,0.143,15.0,reviewed,us,us
230,2024-10-02T16:20:49.186Z,-4.5278,101.8224,35.0,4.7,mb,39.0,188.0,1.142,0.73,us,us6000nw47,2024-10-02T16:49:49.040Z,"94 km SSW of Bengkulu, Indonesia",earthquake,8.8,1.96,0.106,28.0,reviewed,us,us
232,2024-10-02T15:35:52.207Z,49.2777,-128.7411,10.0,4.1,mb,31.0,97.0,1.419,1.07,us,us7000nhqw,2024-10-04T22:09:37.067Z,"188 km SW of Port McNeill, Canada",earthquake,5.67,1.968,0.08,42.0,reviewed,us,us
236,2024-10-02T14:40:53.561Z,35.578,141.0927,46.931,4.7,mb,38.0,141.0,2.532,0.56,us,us7000nhql,2024-10-04T14:43:04.040Z,"29 km SE of Hasaki, Japan",earthquake,6.91,7.652,0.117,22.0,reviewed,us,us
241,2024-10-02T10:51:09.956Z,13.1094,-89.9021,35.345,4.5,mwr,116.0,151.0,0.698,0.84,us,us7000nhpp,2024-10-02T11:10:31.040Z,"54 km S of Acajutla, El Salvador",earthquake,5.92,7.546,0.078,16.0,reviewed,us,us
243,2024-10-02T10:13:45.484Z,23.0683,141.5993,217.835,4.7,mb,50.0,112.0,4.045,0.52,us,us7000nhpl,2024-10-02T10:39:30.040Z,"Volcano Islands, Japan region",earthquake,13.73,8.471,0.081,47.0,reviewed,us,us
246,2024-10-02T08:11:53.589Z,-20.5217,-178.3739,539.95,4.5,mb,54.0,78.0,3.305,0.7,us,us7000nhnl,2024-10-02T08:34:16.040Z,Fiji region,earthquake,14.03,7.233,0.039,189.0,reviewed,us,us
247,2024-10-02T06:49:11.249Z,-17.6026,-69.5744,160.9,4.4,mb,30.0,114.0,0.731,0.75,us,us7000nhn6,2024-10-02T07:37:03.040Z,"45 km ENE of Palca, Peru",earthquake,7.66,6.692,0.134,16.0,reviewed,us,us
249,2024-10-02T05:03:22.348Z,11.788,-87.7772,10.0,4.4,mb,35.0,181.0,1.167,0.77,us,us7000nhmq,2024-10-03T04:06:10.815Z,"101 km SW of Corinto, Nicaragua",earthquake,6.8,1.969,0.079,46.0,reviewed,us,us
252,2024-10-02T04:44:00.199Z,-1.1184,127.5419,10.0,4.5,mb,25.0,106.0,1.886,0.43,us,us7000nhmk,2024-10-08T01:05:14.040Z,"54 km S of Labuha, Indonesia",earthquake,8.27,1.903,0.124,19.0,reviewed,us,us
258,2024-10-02T01:20:37.143Z,9.0944,126.9483,10.0,4.9,mb,54.0,84.0,2.426,0.44,us,us7000nhld,2024-10-04T03:55:12.040Z,"73 km ENE of Aras-asan, Philippines",earthquake,11.32,1.903,0.083,45.0,reviewed,us,us
259,2024-10-02T01:09:15.263Z,-7.207,106.4137,54.06,4.4,mb,27.0,112.0,1.252,0.91,us,us7000nhlt,2024-10-04T03:49:17.040Z,"28 km SSW of Pelabuhanratu, Indonesia",earthquake,10.73,7.9,0.117,21.0,reviewed,us,us
260,2024-10-02T01:09:07.871Z,-46.8323,-10.6186,10.0,5.3,mww,54.0,54.0,25.185,0.79,us,us7000nhlb,2024-10-04T03:23:12.313Z,southern Mid-Atlantic Ridge,earthquake,11.5,1.788,0.127,6.0,reviewed,us,us
261,2024-10-02T00:45:18.260Z,36.0808333333333,-120.200666666667,11.15,4.02,mw,71.0,36.0,0.04766,0.17,nc,nc75069176,2024-10-08T03:35:08.276Z,"11 km NNW of Avenal, CA",earthquake,0.18,0.25,,8.0,reviewed,nc,nc
263,2024-10-01T23:52:46.663Z,3.7667,95.846,46.666,4.6,mb,40.0,132.0,1.82,0.75,us,us7000nhl1,2024-10-04T00:11:45.040Z,"52 km SW of Meulaboh, Indonesia",earthquake,8.7,8.038,0.101,29.0,reviewed,us,us
265,2024-10-01T21:59:27.685Z,-16.4767,-173.7322,61.539,4.7,mb,38.0,102.0,3.172,0.8,us,us7000nhkj,2024-10-01T22:26:16.040Z,"58 km S of Hihifo, Tonga",earthquake,11.0,6.464,0.093,35.0,reviewed,us,us
267,2024-10-01T21:37:58.368Z,-1.0637,127.447,10.0,4.7,mb,37.0,83.0,1.825,0.84,us,us7000nhke,2024-10-01T22:16:25.040Z,"48 km S of Labuha, Indonesia",earthquake,7.4,1.904,0.101,33.0,reviewed,us,us
268,2024-10-01T21:19:49.696Z,14.2112,124.8534,10.0,5.9,mww,104.0,24.0,7.132,0.92,us,us7000nhk8,2024-10-02T21:23:55.061Z,"69 km ENE of Panganiban, Philippines",earthquake,7.9,1.833,0.046,46.0,reviewed,us,us
270,2024-10-01T20:41:25.600Z,-19.6406,-69.2314,107.995,4.4,mb,26.0,86.0,0.045,0.62,us,us7000nhk1,2024-10-01T21:28:36.040Z,"41 km SSE of Camiña, Chile",earthquake,5.1,4.275,0.13,17.0,reviewed,us,us
272,2024-10-01T20:05:33.583Z,-19.3448,-172.7124,10.0,6.6,mww,88.0,32.0,2.645,1.16,us,us7000nhjw,2024-10-07T18:43:07.416Z,"154 km ESE of Neiafu, Tonga",earthquake,6.58,1.75,0.055,32.0,reviewed,us,us
276,2024-10-01T16:02:12.689Z,-49.0086,121.4104,10.0,4.6,mb,32.0,114.0,16.366,0.43,us,us7000nhhx,2024-10-01T17:26:00.040Z,western Indian-Antarctic Ridge,earthquake,8.08,1.784,0.105,29.0,reviewed,us,us
277,2024-10-01T15:43:45.483Z,-14.8145,168.0111,10.441,4.6,mb,43.0,140.0,6.719,0.72,us,us7000nhhs,2024-10-01T16:38:23.040Z,"104 km ENE of Port-Olry, Vanuatu",earthquake,9.54,4.755,0.092,39.0,reviewed,us,us
282,2024-10-01T11:49:05.149Z,38.9342,26.0028,10.0,4.1,mb,13.0,83.0,0.716,0.87,us,us7000nhg8,2024-10-02T08:26:38.040Z,"22 km SW of Polichnítos, Greece",earthquake,3.22,1.961,0.369,2.0,reviewed,us,us
283,2024-10-01T11:45:52.388Z,-30.0576,-71.2276,62.252,4.3,mb,26.0,146.0,0.139,0.45,us,us7000nhg7,2024-10-02T08:44:10.040Z,"15 km SE of Coquimbo, Chile",earthquake,3.84,7.243,0.306,3.0,reviewed,us,us
284,2024-10-01T11:16:05.886Z,-2.905,129.5378,10.0,4.5,mb,24.0,78.0,1.648,0.78,us,us7000nhg2,2024-10-02T08:10:01.040Z,"76 km NE of Masohi, Indonesia",earthquake,7.39,1.874,0.113,23.0,reviewed,us,us
286,2024-10-01T10:11:50.864Z,52.8205,160.2583,37.496,4.9,mb,78.0,106.0,0.995,0.7,us,us7000nhft,2024-10-01T10:34:37.040Z,"112 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,7.78,6.287,0.04,202.0,reviewed,us,us
287,2024-10-01T09:28:05.902Z,-5.9971,124.9161,587.533,6.1,mww,95.0,23.0,3.732,0.71,us,us7000nhex,2024-10-02T09:34:44.962Z,"262 km ESE of Baubau, Indonesia",earthquake,7.62,5.658,0.051,37.0,reviewed,us,us
289,2024-10-01T09:17:15.681Z,-2.6637,-80.9125,35.0,4.6,mb,85.0,153.0,1.437,0.61,us,us7000nhew,2024-10-01T13:42:33.040Z,"47 km S of La Libertad, Ecuador",earthquake,10.2,1.948,0.048,127.0,reviewed,us,us
290,2024-10-01T09:07:36.450Z,-2.7017,-80.8537,35.0,4.5,mwr,70.0,153.0,1.395,0.68,us,us7000nhes,2024-10-01T11:22:17.040Z,"52 km S of La Libertad, Ecuador",earthquake,7.06,1.638,0.068,21.0,reviewed,us,us
292,2024-10-01T08:38:38.191Z,-19.8874,-175.3295,164.536,4.5,mb,37.0,84.0,1.522,1.22,us,us7000nhel,2024-10-01T09:00:05.040Z,"102 km W of Pangai, Tonga",earthquake,10.06,9.214,0.078,48.0,reviewed,us,us
294,2024-10-01T08:23:24.576Z,-19.6058,-174.0438,10.0,5.0,mb,43.0,87.0,1.959,1.77,us,us7000nhee,2024-10-01T20:32:16.784Z,"33 km ENE of Fangale’ounga, Tonga",earthquake,7.69,1.885,0.034,279.0,reviewed,us,us
295,2024-10-01T08:23:12.164Z,4.3436,-87.4192,20.973,4.7,mww,58.0,102.0,5.942,1.4,us,us7000nhec,2024-10-01T08:56:23.040Z,off the coast of Central America,earthquake,7.89,5.563,0.068,21.0,reviewed,us,us
298,2024-10-01T07:10:38.587Z,0.4903,122.2921,121.587,5.0,mb,63.0,59.0,1.596,0.85,us,us7000nhe1,2024-10-01T07:28:26.040Z,"85 km W of Gorontalo, Indonesia",earthquake,7.02,5.419,0.069,68.0,reviewed,us,us
300,2024-10-01T05:52:49.980Z,31.4537,132.406,15.014,4.6,mb,28.0,129.0,1.67,0.65,us,us7000nhdq,2024-10-01T06:53:42.040Z,"100 km E of Nichinan, Japan",earthquake,6.55,4.752,0.112,24.0,reviewed,us,us
302,2024-10-01T05:01:57.237Z,-20.1953,-70.6982,21.903,5.3,mww,77.0,109.0,0.538,0.94,us,us7000nhdc,2024-10-02T00:27:35.082Z,"56 km W of Puerto, Chile",earthquake,3.91,2.814,0.066,22.0,reviewed,us,us
303,2024-10-01T04:49:40.351Z,-41.5731,174.3037,18.783,4.7,mb,35.0,62.0,0.401,0.7,us,us7000nhda,2024-10-05T16:28:23.946Z,"29 km E of Witherlea, New Zealand",earthquake,3.33,4.374,0.137,16.0,reviewed,us,us
304,2024-10-01T04:14:25.179Z,39.716,20.2505,38.666,4.1,mb,49.0,107.0,1.417,0.72,us,us7000nhd6,2024-10-02T19:32:48.040Z,"8 km NE of Konispol, Albania",earthquake,5.66,8.442,0.175,9.0,reviewed,us,us
305,2024-10-01T02:18:22.043Z,1.1363,98.8305,103.875,5.0,mb,81.0,37.0,1.266,0.72,us,us7000nhcp,2024-10-02T04:13:38.040Z,"55 km WSW of Padangsidempuan, Indonesia",earthquake,5.85,1.874,0.055,106.0,reviewed,us,us
306,2024-10-01T02:16:26.724Z,51.041,-176.1342,37.393,4.2,mb,31.0,198.0,0.839,0.79,us,us7000nhcr,2024-10-02T03:52:46.040Z,"98 km SSE of Adak, Alaska",earthquake,5.61,2.282,0.186,8.0,reviewed,us,us
307,2024-10-01T01:33:38.720Z,-5.2467,152.5585,35.0,5.0,mb,44.0,50.0,1.12,0.73,us,us7000nhci,2024-10-02T03:44:30.040Z,"104 km SSE of Kokopo, Papua New Guinea",earthquake,8.96,1.844,0.058,95.0,reviewed,us,us
309,2024-09-30T23:38:49.801Z,52.7911,160.2161,39.467,4.4,mb,39.0,160.0,0.977,0.97,us,us7000nhby,2024-09-30T23:57:56.040Z,"111 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,9.52,8.821,0.078,47.0,reviewed,us,us
311,2024-09-30T19:56:27.296Z,14.587,-93.8408,10.0,4.3,mb,29.0,192.0,2.211,0.5,us,us7000nhb0,2024-10-04T13:24:16.040Z,"119 km SW of La Esperanza (El Zapotal), Mexico",earthquake,8.6,2.007,0.116,21.0,reviewed,us,us
312,2024-09-30T19:25:16.802Z,-36.5004,-71.781,96.246,4.3,mb,32.0,124.0,0.44,0.8,us,us7000nhap,2024-10-04T16:11:50.040Z,"14 km NNE of Coihueco, Chile",earthquake,8.3,6.682,0.201,7.0,reviewed,us,us
313,2024-09-30T18:16:23.959Z,13.3562,-90.9403,35.0,4.3,mb,35.0,192.0,1.245,0.93,us,us7000nhag,2024-10-03T17:44:59.040Z,"64 km SSW of Puerto San José, Guatemala",earthquake,6.84,1.988,0.076,49.0,reviewed,us,us
314,2024-09-30T17:38:33.888Z,13.2511,-90.909,41.195,4.6,mb,63.0,143.0,1.274,0.74,us,us7000nha6,2024-09-30T20:07:55.040Z,"75 km S of Puerto San José, Guatemala",earthquake,7.66,7.322,0.044,155.0,reviewed,us,us
315,2024-09-30T15:25:17.084Z,-5.7105,131.2208,79.258,4.6,mb,28.0,88.0,1.764,0.83,us,us7000nh91,2024-09-30T18:53:29.040Z,"169 km W of Tual, Indonesia",earthquake,7.88,4.64,0.122,20.0,reviewed,us,us
316,2024-09-30T15:19:27.825Z,52.6976,160.1777,53.094,4.4,mb,46.0,120.0,0.982,0.74,us,us7000nh90,2024-09-30T17:06:05.040Z,"112 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,8.06,6.106,0.083,42.0,reviewed,us,us
318,2024-09-30T12:21:58.647Z,53.0351,160.2623,31.539,5.9,mww,110.0,76.0,0.974,1.61,us,us7000nh82,2024-10-01T12:25:26.921Z,"109 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,7.52,3.556,0.041,56.0,reviewed,us,us
319,2024-09-30T11:14:21.623Z,-20.1453,-70.5425,35.0,4.1,ml,13.0,193.0,0.406,0.88,us,us7000nh7u,2024-10-01T05:36:52.395Z,"41 km W of Puerto, Chile",earthquake,5.17,1.976,,,reviewed,us,guc
321,2024-09-30T10:04:46.755Z,8.5437,126.6047,86.864,4.6,mb,42.0,132.0,1.783,1.71,us,us7000nh7k,2024-10-08T06:42:07.040Z,"35 km ENE of Hinatuan, Philippines",earthquake,13.38,6.54,0.088,38.0,reviewed,us,us
322,2024-09-30T06:42:22.218Z,-25.1557,-70.5533,35.0,4.2,mb,23.0,138.0,0.873,0.74,us,us7000nh6t,2024-09-30T10:27:52.040Z,"28 km NNW of Taltal, Chile",earthquake,4.46,1.969,0.167,10.0,reviewed,us,us
324,2024-09-30T02:44:33.591Z,9.1226,40.0768,10.0,4.5,mb,28.0,110.0,3.627,0.46,us,us7000nh6y,2024-10-06T18:27:57.768Z,"18 km NNW of Āwash, Ethiopia",earthquake,12.31,1.944,0.118,21.0,reviewed,us,us
325,2024-09-30T01:47:59.283Z,13.2365,-91.0562,35.0,4.4,mb,51.0,149.0,1.397,0.47,us,us7000nh62,2024-10-01T03:02:13.403Z,"80 km SSW of Puerto San José, Guatemala",earthquake,6.18,1.937,0.053,105.0,reviewed,us,us
330,2024-09-29T20:02:26.489Z,-20.7721,-67.3645,194.228,4.4,mb,45.0,66.0,1.791,0.72,us,us7000nh55,2024-09-29T20:26:42.040Z,"66 km WSW of Uyuni, Bolivia",earthquake,4.47,8.02,0.067,65.0,reviewed,us,us
331,2024-09-29T19:40:55.531Z,18.8075,145.2581,236.976,4.3,mb,59.0,124.0,3.583,0.52,us,us7000nh53,2024-09-29T20:01:14.040Z,"Pagan region, Northern Mariana Islands",earthquake,6.84,7.5,0.073,53.0,reviewed,us,us
333,2024-09-29T17:50:16.198Z,36.4983,70.7965,187.853,4.4,mb,49.0,130.0,2.582,0.66,us,us7000nh4q,2024-09-29T18:05:52.040Z,"40 km S of Jurm, Afghanistan",earthquake,5.95,8.539,0.087,38.0,reviewed,us,us
338,2024-09-29T11:09:14.196Z,2.5052,126.829,25.543,5.2,mww,93.0,68.0,1.804,1.19,us,us7000nh3j,2024-09-29T12:50:27.040Z,"156 km WNW of Tobelo, Indonesia",earthquake,6.34,4.591,0.11,8.0,reviewed,us,us
339,2024-09-29T09:47:33.220Z,36.9118333333333,-121.653333333333,6.94,4.15,mw,106.0,47.0,0.02022,0.16,nc,nc75068161,2024-10-07T20:38:23.269Z,"3 km  of Aromas, CA",earthquake,0.15,0.29,,29.0,reviewed,nc,nc
343,2024-09-29T07:05:47.171Z,6.7894,-73.1424,156.292,4.7,mb,50.0,43.0,0.893,0.76,us,us7000nh2v,2024-09-29T07:24:01.040Z,"8 km NW of Jordán, Colombia",earthquake,8.87,6.236,0.028,397.0,reviewed,us,us
344,2024-09-29T06:53:34.095Z,10.5372,124.3913,10.0,5.1,mww,60.0,55.0,3.64,1.06,us,us7000nh2p,2024-09-30T13:25:11.509Z,"10 km S of Poro, Philippines",earthquake,9.89,1.876,0.075,17.0,reviewed,us,us
345,2024-09-29T06:27:55.356Z,-4.1149,129.8534,31.342,4.7,mb,39.0,86.0,0.408,0.37,us,us7000nh2n,2024-09-29T06:59:47.040Z,"133 km SE of Masohi, Indonesia",earthquake,7.74,5.643,0.092,36.0,reviewed,us,us
346,2024-09-29T05:18:46.337Z,79.9698,136.8281,10.0,4.6,mb,75.0,94.0,8.592,0.82,us,us7000nh2f,2024-09-29T05:53:59.040Z,north of the New Siberian Islands,earthquake,9.57,1.917,0.048,132.0,reviewed,us,us
347,2024-09-29T04:25:22.806Z,34.0907,70.953,49.326,4.5,mb,34.0,170.0,4.821,0.94,us,us7000nh29,2024-09-29T04:44:41.040Z,"17 km W of Landi Kotal, Pakistan",earthquake,12.19,9.697,0.094,33.0,reviewed,us,us
350,2024-09-29T01:46:35.148Z,-21.2604,-70.2415,62.86,4.5,mb,38.0,139.0,0.445,0.67,us,us7000nh1r,2024-09-30T00:17:55.312Z,"92 km N of Tocopilla, Chile",earthquake,5.78,5.639,0.076,51.0,reviewed,us,us
355,2024-09-28T19:56:28.995Z,38.0262,69.91,42.053,4.4,mb,38.0,215.0,0.949,1.32,us,us7000nh0t,2024-09-28T22:30:44.040Z,"13 km SW of Mŭ’minobod, Tajikistan",earthquake,5.62,8.496,0.092,34.0,reviewed,us,us
358,2024-09-28T19:12:09.277Z,11.8363,-73.5207,10.0,4.5,mb,47.0,62.0,3.505,0.9,us,us7000nh0q,2024-09-28T19:29:46.040Z,"66 km NNW of Dibulla, Colombia",earthquake,3.92,1.918,0.058,88.0,reviewed,us,us
360,2024-09-28T18:28:15.460Z,3.1922,125.6232,164.733,4.6,mb,76.0,68.0,2.969,0.77,us,us7000nh0m,2024-09-28T22:01:01.040Z,"201 km NNE of Bitung, Indonesia",earthquake,6.56,7.219,0.063,82.0,reviewed,us,us
362,2024-09-28T17:09:55.172Z,3.0599,122.4001,539.486,4.5,mb,127.0,35.0,2.522,0.54,us,us7000nh0f,2024-09-28T21:11:46.040Z,"288 km NNW of Gorontalo, Indonesia",earthquake,9.8,6.428,0.052,119.0,reviewed,us,us
363,2024-09-28T16:52:40.597Z,-15.4248,-178.7128,10.0,5.1,mww,63.0,122.0,1.249,0.56,us,us7000nh0b,2024-10-01T16:11:51.040Z,"138 km SSW of Leava, Wallis and Futuna",earthquake,5.49,1.847,0.089,12.0,reviewed,us,us
365,2024-09-28T15:43:06.084Z,80.0092,137.186,10.0,4.9,mb,179.0,78.0,8.649,0.68,us,us7000ngzz,2024-09-28T17:04:20.040Z,Lomonosov Ridge,earthquake,9.31,1.796,0.029,377.0,reviewed,us,us
366,2024-09-28T15:40:47.777Z,-11.0417,161.399,15.819,5.0,mww,86.0,44.0,2.14,0.63,us,us7000ngzw,2024-09-28T16:06:45.040Z,"86 km SW of Kirakira, Solomon Islands",earthquake,8.25,3.932,0.089,12.0,reviewed,us,us
368,2024-09-28T13:33:19.683Z,51.993,179.4216,188.247,4.3,mb,29.0,81.0,0.096,0.76,us,us7000ngzg,2024-09-28T17:14:49.302Z,"271 km W of Adak, Alaska",earthquake,13.44,9.326,0.044,148.0,reviewed,us,us
369,2024-09-28T13:09:25.342Z,38.0566,73.2882,10.0,4.6,mb,41.0,147.0,2.773,1.05,us,us7000ngzd,2024-09-28T13:56:50.040Z,"60 km WSW of Murghob, Tajikistan",earthquake,6.89,1.928,0.09,37.0,reviewed,us,us
371,2024-09-28T12:56:28.323Z,14.3687,-92.9564,49.202,4.3,mb,40.0,209.0,2.06,0.84,us,us7000ngz8,2024-09-29T06:46:40.040Z,"69 km SW of Puerto Madero, Mexico",earthquake,11.36,12.217,0.067,63.0,reviewed,us,us
372,2024-09-28T12:32:38.055Z,25.8313,141.6942,82.973,5.1,mb,61.0,103.0,1.334,0.83,us,us7000ngz7,2024-09-28T12:50:40.040Z,"Volcano Islands, Japan region",earthquake,10.31,6.89,0.057,100.0,reviewed,us,us
374,2024-09-28T12:18:14.459Z,37.2959,21.2822,17.489,4.7,mb,46.0,52.0,0.526,1.05,us,us7000ngz5,2024-09-29T05:48:03.071Z,"31 km WNW of Filiatrá, Greece",earthquake,3.33,4.83,0.104,28.0,reviewed,us,us
375,2024-09-28T12:14:10.186Z,39.0734,56.0594,10.0,4.6,mb,34.0,125.0,1.977,1.06,us,us7000ngz3,2024-09-28T13:16:13.040Z,"21 km WNW of Serdar, Turkmenistan",earthquake,5.21,1.93,0.107,26.0,reviewed,us,us
379,2024-09-28T03:06:12.310Z,41.8627,-126.8396,10.0,4.6,mb,71.0,174.0,1.907,0.67,us,us7000ngxs,2024-09-28T14:29:46.486Z,"207 km WSW of Pistol River, Oregon",earthquake,8.81,1.877,0.092,35.0,reviewed,us,us
380,2024-09-28T03:04:15.149Z,41.8543,-126.8404,10.0,5.1,mww,69.0,213.0,1.91,1.35,us,us7000ngxr,2024-10-08T03:14:27.654Z,"207 km WSW of Pistol River, Oregon",earthquake,3.95,2.005,0.044,49.0,reviewed,us,us
382,2024-09-27T23:45:24.949Z,8.9123,40.2427,10.0,4.6,mb,32.0,262.0,3.652,0.55,us,us7000ngx8,2024-09-28T03:09:30.996Z,"11 km SE of Āwash, Ethiopia",earthquake,10.51,1.985,0.109,25.0,reviewed,us,us
383,2024-09-27T23:39:25.106Z,10.9783,-62.6547,107.729,4.8,mb,47.0,72.0,1.509,0.78,us,us7000ngx7,2024-09-28T00:14:32.276Z,"49 km NNE of Yaguaraparo, Venezuela",earthquake,6.53,6.848,0.043,169.0,reviewed,us,us
384,2024-09-27T22:22:50.326Z,53.8846,158.6995,151.721,4.6,mb,139.0,89.0,0.863,0.62,us,us7000ngwt,2024-09-27T22:42:14.040Z,"80 km NNE of Yelizovo, Russia",earthquake,10.03,7.394,0.044,157.0,reviewed,us,us
385,2024-09-27T22:04:23.119Z,-19.2663,169.1929,129.398,4.8,mb,24.0,131.0,3.708,0.98,us,us7000ngwr,2024-09-27T22:23:44.040Z,Vanuatu,earthquake,11.85,8.981,0.118,22.0,reviewed,us,us
386,2024-09-27T21:56:45.857Z,-22.9511,-177.0742,153.496,4.9,mb,57.0,66.0,2.511,0.94,us,us7000ngwn,2024-09-27T22:16:33.040Z,"268 km SW of Houma, Tonga",earthquake,10.88,7.172,0.042,176.0,reviewed,us,us
389,2024-09-27T14:58:08.399Z,-19.9897,169.3085,103.093,5.1,mww,83.0,64.0,3.135,1.03,us,us7000ngth,2024-09-27T15:12:34.040Z,"49 km S of Isangel, Vanuatu",earthquake,6.73,4.536,0.071,19.0,reviewed,us,us
391,2024-09-27T13:50:24.093Z,12.3818,142.8257,26.897,4.9,mb,51.0,91.0,4.042,0.96,us,us7000ngt9,2024-09-27T14:08:05.040Z,"222 km WSW of Merizo Village, Guam",earthquake,10.46,4.885,0.063,79.0,reviewed,us,us
394,2024-09-27T12:20:07.035Z,9.1726,40.0291,10.0,4.5,mb,29.0,104.0,3.63,0.71,us,us7000ngt3,2024-09-28T04:55:14.040Z,"25 km NW of Āwash, Ethiopia",earthquake,11.45,1.918,0.116,22.0,reviewed,us,us
395,2024-09-27T11:20:17.313Z,-30.8448,-179.7471,355.386,5.2,mb,76.0,65.0,2.235,0.77,us,us7000ngsr,2024-09-30T09:09:47.040Z,Kermadec Islands region,earthquake,4.37,5.822,0.033,308.0,reviewed,us,us
396,2024-09-27T10:44:20.034Z,-24.8731,178.5262,608.427,4.6,mb,56.0,128.0,5.38,0.64,us,us7000ngsn,2024-09-27T11:14:33.040Z,south of the Fiji Islands,earthquake,14.33,9.564,0.077,50.0,reviewed,us,us
397,2024-09-27T09:37:26.438Z,-13.6744,-171.3992,10.0,4.5,mb,17.0,91.0,0.439,0.65,us,us7000ngsh,2024-09-27T18:29:38.848Z,"30 km NE of Lufilufi, Samoa",earthquake,1.97,1.902,0.222,7.0,reviewed,us,us
