time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-08T13:42:21.592Z,53.7703,-166.0938,99.7,2.6,ml,,,,0.7,ak,ak024cyljjlu,2024-10-08T13:55:52.891Z,"31 km ESE of Unalaska, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-10-08T12:51:37.839Z,-21.2007,-67.7548,162.874,4.6,mb,60,45,1.506,0.74,us,us6000nx9j,2024-10-08T13:11:25.040Z,"51 km E of Ollagüe, Chile",earthquake,3.34,6.83,0.04,188,reviewed,us,us
2024-10-08T10:38:44.341Z,-5.7382,107.4531,313.956,4.8,mb,92,59,1.724,0.71,us,us6000nx8z,2024-10-08T11:01:28.040Z,"49 km NNE of Rengasdengklok, Indonesia",earthquake,7.88,5.268,0.059,89,reviewed,us,us
2024-10-08T10:25:51.314Z,61.2887,-152.2766,6.6,3.2,ml,,,,0.4,ak,ak024cyjnlib,2024-10-08T10:28:25.835Z,"66 km WNW of Tyonek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-10-08T10:09:01.460Z,18.3906666666667,-67.3968333333333,13.81,3.42,md,25,148,0.1491,0.31,pr,pr71462063,2024-10-08T12:17:24.185Z,"16 km WNW of Rincón, Puerto Rico",earthquake,0.57,0.72,0.0510328816705976,13,reviewed,pr,pr
2024-10-08T09:28:01.596Z,69.3405,-144.926,0,2.6,ml,,,,0.78,ak,ak024cyj2rsw,2024-10-08T11:45:01.040Z,"101 km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-10-08T09:07:42.977Z,-33.8625,-177.5999,10,4.7,mb,21,172,4.594,0.4,us,us6000nx8m,2024-10-08T09:53:26.040Z,"south of the Kermadec Islands",earthquake,15.19,1.974,0.134,18,reviewed,us,us
2024-10-08T08:07:25.759Z,-33.7344,-178.5654,18.874,4.9,mb,31,122,4.493,0.97,us,us6000nx8f,2024-10-08T08:56:12.040Z,"south of the Kermadec Islands",earthquake,10.09,5.08,0.187,18,reviewed,us,us
2024-10-08T08:00:46.391Z,53.6353,-165.2345,21.4,2.6,ml,,,,0.56,ak,ak024cyibfup,2024-10-08T08:14:34.399Z,"65 km SSE of Akutan, Alaska",earthquake,,1.3,,,automatic,ak,ak
2024-10-08T07:31:54.054Z,60.1545,-153.2483,157.1,2.6,ml,,,,0.37,ak,ak024cyhwnuy,2024-10-08T07:33:58.747Z,"59 km E of Port Alsworth, Alaska",earthquake,,0.5,,,automatic,ak,ak
